job_title,salary_usd,years_of_experience,city,jd
Sales Manager,1000.0,2.0,Ho Chi Minh City,"Lead and train the sales team.
Supervise the full sales process across online and offline channels.
Be responsible for sales performance reporting to senior management.
Perform additional duties as assigned by management.
Work location: Ho Chi Minh City, Bình Thạnh District HQ.
Requirements: Female candidates aged 25-35 with a university degree; minimum 2 years of sales management experience in electronics/electronic devices; experience in online sales and showroom chains is a plus; experience managing a team; good appearance, communication, initiative, and detail-oriented."
Software IT Engineer,320.0,2.0,Hanoi,"Manage and support software applications related to company operations.
Administer domains and communication tools such as Skype, Zalo, and email.
Administer and maintain administrator accounts for all websites, both old and new.
Install and manage Global Distribution System (GDS) systems.
Set up and maintain API connections between systems.
Requirements: Male, Diploma or higher in IT; more than 2 years of experience for this role."
Customer Experience Officer (CXO),400.0,1.0,"Ho Chi Minh City, Hanoi","Serve as a Customer Experience Officer to connect the center with students and support their learning journey.
Own student enrollment and registration, assist with sign-ups and payment processes.
Manage course renewals and monitor the center's renewal progress to meet targets.
Track student progress, collect and respond to feedback, and help students achieve academic goals.
Oversee cashiering, invoicing, and document compliance; manage book availability and reporting.
Participate in training sessions and meetings, and perform additional duties as assigned."
Agricultural Products Business Manager,600.0,3.0,Hanoi,"Plan, organize, and oversee distribution of agricultural products from producers to agents, stores, supermarkets, and end customers.
Build and maintain strong relationships with business partners, customers, and stakeholders in the distribution channel.
Research and analyze market needs, customer behavior, competition, and trends to propose effective distribution strategies and programs.
Lead and develop the distribution sales team, train, coach, and evaluate performance.
Monitor, control, and report on sales, costs, profits, inventory, quality, and service in the distribution channel.
Resolve issues, complaints, and feedback from customers and channel stakeholders; propose and implement promotional and sales support activities.
Collaborate with other departments (production, accounting, HR, etc.) and ensure compliance with company policies and applicable laws."
Business Analyst (BA),400.0,3.0,Hanoi,"Analyze and clarify business requirements and propose solutions for system upgrades and new developments.
Receive, manage, and prioritize enhancement requests from business users.
Collaborate to clarify requirements, survey and analyze business processes to propose and agree on solutions.
Review design documents, user manuals, and other project documents to ensure alignment with business needs; write/update URD and FSD; obtain sign-off from stakeholders.
Manage hard and soft project documents; perform project coordinator duties: track progress, coordinate software development lifecycle activities, and support project secretary tasks if needed.
Work in a Scrum/agile environment; participate in Scrum ceremonies and ensure timely communication with teams.
Demonstrate ability to work independently and in teams; maintain diligence, logical thinking, organization, and attention to detail."
Executive Assistant to General Director,600.0,0.5,Ho Chi Minh City,"Manage the General Director's calendar, meetings, and travel plans; take notes and summarize meeting content for executive oversight.
Monitor progress of assigned programs; coordinate with related departments to ensure execution of the planned activities.
Collect and search for information as requested by the Director; classify, organize, and summarize documents from departments for the Director.
Translate documents and draft correspondence as needed.
Perform other duties as described in the job description; report to senior leadership as required.
Demonstrate professionalism, collaborate effectively with colleagues, and show commitment to long-term stability with the company."
"Mobile App Developer (Native, Flutter)",600.0,0.0,Hanoi,"Collaborate with the development team to build mobile applications (native iOS/Android and Flutter) and contribute to product delivery.
Suggest and support technology choices and solutions for the team; participate in planning, task assignment, and effective team management.
Organize and support team-building activities, knowledge sharing, and process improvements to enhance skills and productivity.
Communicate with product and technical stakeholders to align on business goals and project milestones.
Proficient in native iOS/Android development and Dart/Flutter, with experience in Git version control and state management.
Experience with in-app purchases, AdMob, and third-party integrations (Firebase, Adjust, Appsflyer); knowledge of app architecture, high availability, stability, and security."
Sales Manager Assistant,500.0,1.0,"Ha Nam, Hanoi, Vietnam","Receive and process customer orders.
Coordinate order fulfillment and shipment.
Handle pricing administration and discounting as applicable.
Serve as primary liaison with customers.
Collect and analyze revenue data.
Assess customer satisfaction and feedback.
Calculate material/production costs and support cost analysis."
Executive Assistant and Translator to CEO,1200.0,3.0,"Ho Chi Minh City and Binh Duong, Vietnam","Assist the CEO with daily task management and schedule planning.
Arrange itineraries and appointments for the CEO with partners and clients.
Actively participate in meetings with potential partners and clients and provide interpretation support.
Translate information accurately and provide interpretation during meetings between the CEO and clients.
Prepare daily work reports and accompany the CEO on business trips as needed.
Be prepared to work at the Saudi headquarters or travel to Saudi Arabia, Malaysia, and other locations as required.
Requirements: female with a presentable appearance; fluent in English with IELTS >= 5.0 or TOEIC 600; conversational Chinese or equivalent (HSK 3); outgoing, proactive, and well-organized; proficient in Microsoft Word and Excel."
IT ERP Specialist,360.0,2.0,Hanoi,"Implement and proficiently use ERP software; manage and maintain the ERP system, servers, and information security.
Troubleshoot network and computer systems and user accounts to resolve issues encountered during work.
Manage IT-related equipment; monitor the status of devices and propose timely solutions to prevent operational downtime.
Deploy projects related to new processes for the sales department, including user guidance and process/system troubleshooting.
Address infrastructure issues onsite at stores when required and monitor infrastructure devices each morning to ensure stability.
Conduct weekly IT system checks at branches, collaborate with other departments on requests, and perform data backup and recovery."
Nurse Aide - Immediate Start,320.0,1.0,Ho Chi Minh City,"Perform nursing care procedures following standard nursing techniques.
Operate and maintain assets, medications, instruments, and medical devices in the department under direct supervisor.
Advise and guide patients and their families during visits for treatment.
Collaborate with other staff to ensure quality patient care.
Requirements: Gender: Male or Female; Age 22 to 34; Education: Vocational College or Associate Degree in Nursing.
Preferably hold a professional practice certificate; possess strong medical ethics, patient care skills, good health; sociable, meticulous, good communication, responsible; able to work in a team and independently; quick and proactive; proficient in IT."
Project Manager - Hospital,800.0,3.0,"Hanoi and Vinh Phuc, Vietnam","Manage hospital/clinic projects, ensuring timely delivery, quality, and budget compliance.
Analyze, plan, and oversee upcoming and ongoing projects.
Create and manage project documents, including project plans, progress reports, risk reports, and requirements documents.
Coordinate with stakeholders such as clients, suppliers, and internal departments.
Monitor progress, address issues during project implementation, and ensure resolution.
Evaluate project outcomes, capture lessons learned for future projects, and contribute to improving project management processes."
Interior Sales Executive,280.0,2.0,Hanoi,"Identify and approach clients in need of interior products and promote offerings via online and offline channels.
Develop and manage a network of partners, including brokers, architects, and developers, to source projects.
Advise clients on suitable interior solutions and coordinate with the design team; prepare design and construction quotations.
Negotiate design and construction contracts; monitor project progress through to acceptance.
Maintain client database, provide after-sales support, and address customer inquiries.
Prepare regular sales reports for the sales manager and contribute to business planning and strategy."
Regional Sales Manager,480.0,2.0,Dong Nai and two other locations,"Implement and supervise regional sales plans, activities, programs, and projects in the designated area.
Prepare reports assessing the performance and effectiveness of implementations.
Manage, assign, and support sales staff to achieve sales targets.
Recruit, train, guide, and develop junior sales personnel.
Collaborate with the Tan Binh District office and other managed regions to ensure regional sales coverage.
Ensure adherence to company policies and contribute to continuous improvement of sales processes."
Digital Marketing Fullstack,320.0,0.0,Ho Chi Minh City,"Manage monthly performance for the digital team, including product pre-order campaigns, major monthly sales campaigns, and ads on e-commerce platforms.
Allocate and oversee budgets and products for junior staff and freelancers; ensure KPI achievement on monthly, quarterly, and annual horizons.
Responsible for reporting website activity metrics (driven traffic, funnel ads, conversion rate, email marketing, etc.).
Plan and test new products monthly; report and plan revenue targets by product; prepare weekly and monthly reports aligned with overall goals.
Manage advertising payments and-related financial tracking; monitor cash flow and budgeting; plan large budget pushes.
Oversee website tracking activities (training provided): Meta Pixel and Google Analytics setup and tracking.
Collaborate across teams with strong communication, project management, and ability to multitask; engage with management to ensure timely progress."
Area Sales Manager - Electrical Equipment,720.0,2.0,Hanoi,"Responsible for revenue and profit of the Electrical Equipment sales department.
Develop and implement business plans to expand the client base and ensure market coverage of the brand.
Build and cultivate relationships with customers in the electrical equipment sector.
Report business results, revenue, and costs; provide market forecasts to the General Director.
Coordinate with Marketing on campaigns for the electrical equipment category.
Identify potential markets and monitor market movements; keep updated on competitors and new products.
Execute tasks as assigned by the General Director."
Branch Operations Manager (Beverage Preparation),720.0,3.0,Nghe An,"Responsible for achieving revenue targets and developing sales promotion plans, monitoring execution.
Manage recruitment, training, and development; design staffing structure aligned with branch activity and collaborate with HR to hire suitable staff; plan training programs to ensure adequate skills.
Oversee cost control, assets, and equipment; manage raw material costs within defined limits; ensure proper use of equipment and tools to minimize damage or loss.
Coordinate branch operations by liaising with departments to maintain stable and efficient business performance; supervise departmental staff and resolve incidents.
Provide customer service leadership; implement customer feedback programs and directly address complaints with optimal solutions.
Regular reporting on business activities, monthly sales performance, and safeguarding confidential business information."
Sales Executive,280.0,1.0,Hanoi,"Develop and manage distribution channels and sales network; implement market development plans.
Conduct sales activities: participate in fairs and business events; prospect, present products; sign and manage contracts; arrange logistics and delivery.
Place orders and monitor order fulfillment: relay orders to production; monitor production progress, quality, and product specifications; update customers on progress and delivery.
Manage customer relationships (CRM): update sales data in the customer database; assess customer satisfaction; nurture customer relationships; coordinate activities with suppliers and regional sources.
Prepare periodic sales reports and plan weekly/monthly tasks for the sales channel; draft contracts and sign-off procedures; adhere to approved plans."
Project Management Intern - Account Intern,80.0,0.0,Ho Chi Minh City,"Support Account team in project deployment through tasks such as monitoring internal team deadlines and reporting project status.
Prepare project documents and records for the Account team.
Assist in client engagement, provide quotations and proposals to customers.
Produce reports as requested by the Account Manager.
Perform other tasks as assigned by the Account Manager.
Applicants must be students or graduates in Marketing, Business Administration, or related fields; no previous experience required.
Proficiency in English (listening, speaking, reading, writing) and knowledge of Marketing and Digital Marketing; proficient in MS Office; strong communication, meticulous, attentive, team-oriented, and able to work under pressure."
Sales Consultant / Sales Advisor,400.0,0.0,Ho Chi Minh City,"Drive to achieve personal vehicle sales targets for passenger cars and trucks.
Prospect, nurture, and develop relationships with customers; manage potential customer information.
Execute marketing and customer service activities aligned with the assigned market; ensure compliance with policies and procedures.
Monitor sales contracts, accounts receivable, and vehicle handover processes.
Requirements: college degree or higher in automotive technology; basic knowledge of technology and features of trucks and buses.
Proficient in office software with strong negotiation and persuasive selling skills; base location in Ho Chi Minh City."
"Telesales Officer - Bank (Dong Da, Hanoi)",320.0,0.0,Hanoi,"Conduct outbound calls to advise on bank products and provide customer care according to predefined scripts across two channels: OB Service and OB Sale.
For the OB Service channel, make calls addressing service quality and remind customers about outstanding debts.
For the OB Sale channel, perform calls following the script to promote and sell bank products.
Communicate with customers in a professional manner, ensuring clear pronunciation and no regional accent.
Meet eligibility requirements: ages 20-33, education from secondary school or higher, and prior experience in customer support or sales is advantageous.
Location: Hanoi, Dong Da district."
POD Store Manager,320.0,1.0,Hanoi,"Manage online storefronts on e-commerce platforms such as Amazon, Shopify, Etsy, and eBay.
Optimize product listings, images, and information to attract customers.
Handle orders and resolve customer complaints.
Require proficiency in English to read documents and respond to international customer emails (English certification is a plus).
Bachelor's degree in Marketing, E-commerce, or related fields; or equivalent.
Commitment, creativity, ability to work under pressure, and capability to work independently and in a team."
Educational Consultant,400.0,1.0,"Can Tho and multiple locations nationwide (Ho Chi Minh City districts including Binh Tan, District 6, District 10, District 8, Go Vap, District 7, Tan Bình, District 9, Tan Phu; Binh Duong; Rach Gia; Nha Trang; Da Nang; others)","Provide guidance on English courses and act as a liaison between Apollo English and parents, helping clients choose meaningful learning paths.
Contact potential customers using provided data, present detailed course information, and tailor study plans to individual learners.
Schedule placement tests, handle course registrations, coordinate class bookings, and process course payments; address inquiries throughout registration.
Manage cash and receipts, and hand over payment documents to the cashier or accounting department; maintain accurate sales records for self and team.
Fulfill additional duties as assigned by the Center Director; contribute to reaching sales targets.
Display strong communication and customer service skills; work effectively both independently and as part of a team; English proficiency is a plus."
Senior Luxury Wine Business Manager,600.0,3.0,Ho Chi Minh City,"Responsible for planning business, setting targets, annual budgeting, analysis, and monitoring business controls; developing and implementing strategies to grow revenue.
Collaborate with Marketing to formulate sales-support policies and channel-specific marketing programs.
Analyze wine consumer trends; coordinate with departments to offer products aligned with consumer tastes and diversify while meeting company business criteria.
Recruit, onboard, train, assign, plan, coach, supervise, and evaluate employee contributions; build and manage the sales team.
Establish and expand the sales network, manage territory allocations and sales quotas for subordinates; set salary policies and incentive schemes aligned with business goals.
Stay updated on wine industry trends and propose appropriate adjustments; require university degree in Economics or Business Administration; minimum 3 years of management experience in F&B, especially wine; fluent English; knowledge of sales plans for GT/MT/Horeca; strong integrity, confidence, ambition, and communication."
Fullstack Developer,1400.0,0.0,Ho Chi Minh City,"Design, develop, and enhance responsive web applications using .NET to meet business requirements.
Independently research technical solutions and product functionality; participate in code reviews on a regular basis.
Promote development standards and best practices; assist both development and test teams in acceptance testing and troubleshooting.
Proactively seek opportunities to implement improvements in personal and team processes; communicate task estimates and progress.
Document user stories and technical requirements; work with cross-functional teams in an Agile environment.
Show hands-on development experience with front-end frameworks (Angular, ReactJS), Web API, OOP concepts, and relational databases (SQL Server, PostgreSQL); familiarity with unit and integration testing and open-source tools."
"ASM Manager for Electrical Equipment - Hanoi, Cau Giay",720.0,2.0,Hanoi,"Responsible for revenue and profit of the Electrical Equipment Sales Department.
Develop and implement business plans to expand the client base and ensure brand coverage.
Build and grow customer relationships within the electrical equipment sector.
Report business results, revenue, and costs; provide market forecasts to the General Director.
Coordinate with Marketing on marketing plans for the electrical equipment category.
Identify potential markets and monitor market movements, competitors, and new products.
Perform tasks as required by the General Director."
IT Staff,600.0,2.0,"Hanoi, Vietnam","Maintain ERP-related systems (SAP, Oracle).
Develop and manage SQL databases and related programming tasks.
Install computer software and handle IT issue resolution and support.
Collaborate with various departments to communicate technical issues.
Requirements: University degree or higher; fluent in Chinese; basic English.
At least 2 years of ERP maintenance experience; preference for experience in large-scale manufacturing."
Business Development Manager - GT Channel / ASM GT,600.0,3.0,Ho Chi Minh City,"Maintain and open new distributors and mini-supermarkets to ensure product coverage targets.
Identify and develop key retail chains and channel partners.
Recruit, train, and develop staff as needed; monitor sales performance of agents and outlets and propose timely promotions.
Build sales plans, analyze data, and formulate strategies for market development.
Manage budgets, analyze results, and prepare reports; coordinate with internal teams.
Collaborate with cross-functional teams and maintain a positive, energetic work environment."
Angular Developer (Japanese N2),880.0,0.0,Hanoi,"Read and study design documents to understand project requirements.
Participate in the full software development life cycle: system design, technology selection, programming, quality assurance, and deployment.
Proactively discuss, design, coordinate, and advise on API development with the Backend Team.
Explore new technologies and design solutions applicable to the current system.
Report progress to management and collaborate effectively with the team; English reading proficiency is preferred, Japanese communication is a plus.
Requirements: at least 2 years of experience with Angular, JavaScript, and CSS; university degree in information technology or related fields; strong logical thinking, analytical and quick learning abilities."
Java Developer - Japanese,800.0,0.0,"Hanoi, Vietnam","- Develop and maintain software applications, focusing on Microsoft platform-based products such as SharePoint, Translation API, and Azure.
- Design and implement new applications; propose technical solutions and improve software development processes.
- Maintain and upgrade existing data management systems for universities in Japan; ensure system stability and performance through testing and continuous improvements.
- Analyze requirements and design systems; collaborate with clients and stakeholders to design appropriate technical solutions.
- Manage project timelines and coordinate with development team and stakeholders to ensure timely delivery.
- Communicate effectively in Japanese (N4 or higher) and work well in a team; demonstrate problem-solving abilities and time management under pressure."
IT ERP Specialist,360.0,2.0,Hanoi,"Implement and proficiently operate ERP software; manage, maintain ERP systems, servers, and information security.
Provide troubleshooting for network, computer systems, and user accounts.
Manage IT-related equipment; monitor and propose improvements to prevent downtime.
Deploy projects related to new processes for the sales function; provide software usage and error-handling guidance.
Respond to infrastructure incidents requiring on-site visits; monitor infrastructure devices daily to ensure stability.
Update, backup, and recover data; collaborate with other departments; support other tasks as assigned."
Regional Business Manager Northeast (ASM) - FMCG,760.0,2.0,Hanoi,"Plan monthly, quarterly, and yearly sales strategies for the assigned region.
Achieve sales targets and drive business results according to set KPIs.
Manage, support, and develop the distribution channel network within the region.
Collaborate with Marketing to implement Trade Marketing programs and promotional activities to increase product visibility at points of sale and build brand recognition.
Build, recruit, train, evaluate, and develop the regional sales team; ensure effective onboarding and capability growth.
Monitor compliance with policies, supervise delivery, warehousing, shelf display, and equipment within the regional area.
Conduct market research and competitive analysis, analyze sales data and product quality to propose actions that drive regional growth; directly report to the National Sales Director."
IT Helpdesk (English Communication),360.0,2.0,Ho Chi Minh City,"Install and deploy hardware and software for users.
Troubleshoot issues related to computers, printers, emails, and network systems.
Deploy, install, and maintain network systems.
Communicate effectively in English with users and team members.
Experience with Microsoft 365 administration and management.
Education in IT (diploma/degree); CCNA, MCSA, MCSE courses preferred; 2+ years of experience preferred."
Sales Manager,480.0,2.0,Hai Duong,"Oversee the sales department and be responsible for managing business activities to achieve revenue targets.
Plan and implement tasks to meet assigned sales targets and revenue goals.
Allocate targets, monitor progress, and coach staff to meet individual objectives.
identify and expand relationships with educational institutions, educational centers, and parents.
Provide direct consultations on educational products, printing, publishing, and school experience programs; conduct market and competitor research.
Handle post-sale processes such as contracts, documentation, and payments; resolve issues and inquiries beyond frontline staff."
Sales Associate (No Experience Required),480.0,1.0,"Hanoi, Vietnam","Plan and drive business development and sales activities to acquire new clients and expand market reach.
Develop and manage a customer pipeline, cultivate leads, and close deals.
Monitor sales performance and provide support to customers before, during, and after the sale.
Build and promote personal brand on social platforms (TikTok, Zalo, Facebook).
Collaborate in a professional, creative, and dynamic team environment; participate in training and coaching.
Qualifications: university or college degree; age 25-40; interest in sales; prior experience in sales, banking, insurance, or entrepreneurship preferred."
Branch Manager,400.0,3.0,Hanoi,"Oversee branch operations and supervise workflow processes to ensure efficiency.
Recruit, guide, and train staff; supervise overall service delivery and performance.
Manage facility, revenue, and assets; ensure compliance with safety, quality, and company standards.
Handle parent inquiries and manage customer relationships; address complaints professionally.
Ensure adherence to company policies; analyze operations and contribute to business strategy development.
Demonstrate leadership and team development; require relevant degree (business, HR, law) and at least 3 years of management experience; strong communication and negotiation skills."
Business Manager - Import and Export,600.0,2.0,Ho Chi Minh City,"Responsible for all import-export operations of the company.
Manage all customs procedures and accompanying documents (export/import documents, sales contracts, transfer procedures).
Receive, verify, and reconcile import/export documents with quantities during customs clearance at the border.
Represent the company in meetings with customs authorities; classify and manage duties and taxes.
Monitor goods during transport and stay updated on changes in import/export laws and regulations; advise on customs procedures, insurance, and related issues.
Develop business plans and strategies to achieve targets; supervise and train staff; conduct market research and propose strategic plans; execute marketing activities to develop the brand and ensure customer service quality."
Business Development Manager,400.0,1.0,Ho Chi Minh City,"Seek and develop new client relationships.
Maintain client relationships and provide suitable financial solutions to meet their needs.
Plan and manage the sales team; guide and support staff to achieve revenue targets.
Propose and implement business strategies; drive sales for the team and individuals.
Provide post-sale customer care to enhance company reputation and build customer loyalty."
Sales Executive / Sales Representative,360.0,1.0,"Binh Duong, Hanoi","Market and sell company products in Vietnam to achieve growth and hit sales targets.
Generate business leads for building materials and wood panel products and follow up on sales opportunities.
Monitor accounts receivable; ensure prompt collection and manage credit terms and limits.
Provide regular, timely sales activity reports and conduct periodic sales presentations.
Maintain the customer database and participate in marketing campaigns, exhibitions, and tradeshows.
Conduct market research, competitor analysis, and report findings to management; perform other duties as requested by management."
Sales Consultant - Automobile Showroom,800.0,0.0,Ho Chi Minh City,"Greet customers at the showroom and assist with inquiries.
Provide detailed information about vehicles (exterior, interior, and test drive) to customers.
Assess customer needs and preferences to tailor recommendations.
Discuss and negotiate terms of purchase contracts with customers.
Track payments and coordinate vehicle delivery to customers.
Explain vehicle operation and warranty/maintenance policies before handover, and follow up after delivery to build relationships."
Business Manager (Remote) - Up to 30 million VND - Immediate Start,1000.0,3.0,Ho Chi Minh City,"Develop and implement business strategies to drive growth and revenue.
Assess market trends, customer demand, and competitive landscape to adjust advertising and sales strategies.
Monitor and evaluate the performance of the sales team and implement actions to improve productivity.
Manage customer relationships and provide periodic reports on business results, with recommendations for improvement.
Ensure business strategies align with the company’s overall goals and drive cross-functional collaboration.
Qualifications: Bachelor's degree in Business Administration, Marketing, or related fields; 3–5 years in business or e-commerce sales, including 2–3 years in a managerial role; strong leadership, communication, negotiation, presentation, training skills."
Agricultural Products Sales Manager,600.0,3.0,Hanoi,"Plan, organize, and oversee distribution of agricultural products from producers to agents, stores, supermarkets, and end consumers.
Build and maintain strong relationships with business partners, customers, and stakeholders in the distribution channel.
Research and analyze market demand, customer behavior, competition, and trends to propose effective distribution strategies and programs.
Manage and develop the distribution sales team, providing training, guidance, and performance evaluation.
Monitor and report on sales, costs, profits, inventory, quality, and service of the distribution channel.
Resolve customer and stakeholder issues, complaints, and feedback within the distribution channel.
Propose and implement promotional activities, advertising, and sales support for the distribution channel."
Sales Manager - GT Channel / ASM GT,600.0,3.0,Ho Chi Minh City,"Maintain and expand GT channel and ASM GT distributors and mini supermarkets to ensure product coverage targets.
Identify and develop key account chains and pursue growth opportunities with major retailers.
Recruit and train staff as needed to support channel development and sales execution.
Monitor sales performance across distributors and outlets; propose timely promotions to drive sales.
Develop sales plans and conduct analysis to inform market development strategies.
Requirements: male or female, under 50 years old; 3–4 years of experience in foods, imported foods, alcoholic beverages, or dietary supplements; existing customer/distributor networks and regional key shop data; strong communication and proficient computer skills; ability to work in a team, plan, execute, and manage budgets; capable of analysis and reporting."
Sales Executive / Medical Equipment Sales Consultant,480.0,2.0,Ho Chi Minh City,"Plan and execute monthly, quarterly, and annual sales plans and report results.
Maintain existing client relationships and establish new potential customers in the assigned area.
Recommend issues related to product distribution according to manufacturer specifications and finance/after-sales policies as directed by management.
Draft and finalize contracts (with regional manager approval on terms), drive contract execution, oversee delivery, installation, operation, and warranty, and monitor payments and invoicing to assess customer satisfaction.
Be responsible for sales performance in the assigned territory and report directly to the regional manager.
Compile data and analyze market trends and competitors on a monthly/quarterly/annual basis per supervisor guidance.
Collaborate with related departments to achieve objectives."
Medical Representative / Business Development Manager,360.0,1.0,"Hanoi and Ho Chi Minh City, Vietnam","Plan and execute sales activities in the assigned area and achieve sales targets.
Have clear knowledge of product information, features, benefits, and policies.
Understand customer psychology and needs to provide direct consultation and product recommendations.
Seek new customers and potential accounts while maintaining existing customers.
Monitor and coordinate with the accounting department to support debt collection for customers.
Research and summarize competitor information and market insights during work.
Requirements: College degree or higher; preferred backgrounds in economics, healthcare, or pharmacy; 1+ year experience as a Medical Representative or 2+ years in other sales roles; strong discipline, responsibility, and ability to work under pressure; proficiency in office software and good communication skills."
IT Specialist,400.0,2.0,Hanoi,"Manage and operate servers, storage, and network devices to ensure system stability.
Configure and manage user accounts, email, and information security.
Set up and maintain the internal network to ensure stable and secure connections.
Perform regular maintenance of hardware and software and apply updates.
Collaborate with vendors to operate, warranty, maintain, and repair devices.
Provide user support for hardware/software incidents and office software (Microsoft Office, Outlook) and other applications.
Manage IT assets: issue, track, and recover assets; document handovers."
Debt Collection Call Agent (Overdue Loan Payments),600.0,0.0,Ho Chi Minh City,"Make outbound calls to persuade customers to repay overdue loans.
Collect information and propose repayment options to enable loan settlement.
Update customer status in the internal system and maintain accurate records.
Report daily/weekly results and performance metrics.
Qualifications: high school graduate; minimum 3 months experience in customer service, sales/teleSales in finance, or debt collection; strong communication and problem-solving abilities; ability to work under pressure.
Personal attributes: honesty and professional ethics."
Area Sales Manager (OTC Channel),720.0,3.0,"Hanoi, Da Nang, Ho Chi Minh City, Can Tho, Binh Duong, Dong Nai","Responsible for OTC channel sales targets and regional duties in Hanoi and additional locations.
Coordinate with departments to develop sales policies and incentive plans for the assigned area.
Recruit, train, manage, and evaluate field medical representatives.
Build and maintain relationships with customers, pharmacies, and drugstores in the assigned area.
Receive and process orders from pharmacies, and coordinate with Sales Admin to ensure timely processing and accurate reporting.
Collect and provide market feedback to support marketing activities; work with Sales Admin and Warehouse to monitor sales, manage inventory, minimize stockouts and expired goods, and ensure timely distribution."
Manual Tester,720.0,3.0,Hanoi,"Plan QA strategy and collaborate with project managers and stakeholders to develop comprehensive test plans and align testing timelines with the project schedule.
Design and execute test cases that cover all aspects of the software or product, coordinating both manual and automated testing activities.
Identify, log, and track software defects using appropriate tools; clearly communicate issues and work with developers to resolve them.
Collaborate across cross-functional teams including development, design, and product to understand requirements and ensure product quality; provide feedback to improve usability and functionality.
Requirements include at least 3 years of QA/Tester experience, strong software testing background, and experience with Agile/Scrum projects; experience with web products, HTML, CSS, HTTP, REST API, and GraphQL is preferred.
Automation skills such as writing automated test cases with Selenium (Java) are a plus; strong analytical, logical thinking, and excellent communication skills."
Sales Representative (Gross income from 10 million VND plus commissions),400.0,1.0,"Binh Duong, Vietnam","Identify and develop potential customers for automotive tires, focusing on those with demand for tire products.
Maintain and nurture relationships with existing customers to drive growth.
Advise customers on the company’s tire products, including brands, product lines, and promotional programs.
Negotiate, close sales, and ensure achievement of sales targets.
Support and assist customers during product usage, addressing questions and providing timely feedback.
Coordinate with the warehouse and delivery teams to ensure on-time delivery and meet customer requirements."
Head of Sales - English Proficiency,600.0,3.0,Ho Chi Minh City,"Understand the market for the UCO industry and related issues; provide insights to leadership.
Directly execute tasks and projects assigned by the Board of Directors.
Prospect, approach, and expand the customer and supplier database in Ho Chi Minh City and southern provinces, including Da Nang and Nha Trang.
Engage with customers to understand needs and create demand; negotiate to achieve business results.
Analyze market conditions and competitive landscape; develop plans to maintain client relationships and drive growth.
Advise on business strategies and build sales plans tailored to different customer segments; manage and train the sales team."
React Native Developer,400.0,0.0,Thai Nguyen,"Directly develop applications on the React Native platform.
Explore new technologies to improve performance and scalability of applications.
Support related projects as required by the job.
Require candidate with a background in IT and a bachelor's degree from a relevant university.
Minimum 1 year of React Native experience with apps already published on app stores and built for both Android and iOS.
Experience uploading apps to Google Play and Apple App Store.
Demonstrate independent thinking and good teamwork skills."
Dental Technician,400.0,0.0,Thai Binh,"Perform administrative tasks related to patient records.
Conduct dental examinations, provide consultations, and treat dental conditions.
Adhere to hygiene and safety standards in the dental clinic.
Use and maintain dental equipment and instruments.
Develop treatment plans and perform procedures such as tooth extraction, fillings, scaling, crowns, and dental implants.
Build and maintain positive relationships with patients and work collaboratively with the team."
Head of Admissions Consulting Team,480.0,2.0,"Vinh, Nghe An","Lead a team of 6-10 sales staff in education admissions consulting to achieve targets.
Plan and implement weekly, monthly, quarterly, and annual sales strategies to attract, advise, and close clients, ensuring targets are met.
Collaborate with schools, buildings, and partner organizations to identify potential students.
Monitor and drive team performance to meet KPIs; provide motivation and guidance to staff.
Recruit, train, and develop the admissions sales team to align with company requirements.
Prepare and submit reports to management as required; support the center director as needed."
Marketing Staff - Livestream,480.0,1.0,Hai Phong,"Develop ideas, create content, and write PR articles for the brand across social media platforms including Facebook, Fanpage, Tiktok, and Shopee.
Write scripts and host livestreams for product promotions on the company's pages.
Seed posts and videos to relevant groups to boost reach and engagement.
Contribute to the development and implementation of content and visual strategies for the company's social media channels.
Support general marketing department tasks and collaborate with the team to meet marketing goals.
Demonstrate creativity, responsibility, and strong writing and communication skills; ability to engage audiences on camera."
Area Sales Manager (OTC Channel),720.0,3.0,"Hanoi, Ho Chi Minh City, Da Nang, Can Tho, Binh Duong, Dong Nai","Responsible for OTC channel sales targets and the assigned regional area.
Collaborate with departments to develop sales policies and incentive schemes for the sales team.
Recruit, train, manage, and evaluate the Medical Representatives team.
Build and maintain relationships with customers, pharmacies, and drugstores in the assigned area.
Collect and report market information to support Marketing activities.
Coordinate with Sales Admin and warehouse to monitor sales, manage inventory, prevent stockouts and near-expiry items, and ensure timely distribution.
Coordinate with Finance and HR to calculate compensation, bonuses, and selling expenses for sales staff."
Sales Administrator,500.0,1.0,"Hà Nam and Hà Nội, Vietnam","Handle order intake and processing.
Manage order fulfillment and shipping activities.
Coordinate pricing operations and materials cost calculations.
Serve as the primary liaison with customers.
Collect revenue information and monitor customer satisfaction.
Assist with additional tasks as directed by supervisor."
E-commerce Market Development Specialist (Remote),600.0,0.0,Ho Chi Minh City,"Execute marketplace marketing campaigns in line with company directives to attract real customers.
Plan daily work activities and set customer targets.
Develop promotional content and share offers within the customer community.
Monitor sales performance for clients under management and adjust strategies accordingly.
Collaborate effectively in a team and engage in negotiation and persuasive communication with customers.
Provide enthusiastic, responsible customer service and maintain a positive work attitude.
Be flexible with overtime and performance-based rewards."
